Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
ZWE,2000-01-01,2002-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,95,E,
ZWE,2001-01-01,2003-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,96,E,
ZWE,2002-01-01,2004-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,96,E,
ZWE,2003-01-01,2005-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,97,E,
ZWE,2004-01-01,2006-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,98,E,
ZWE,2005-01-01,2007-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,98,E,
ZWE,2006-01-01,2008-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,99,E,
ZWE,2007-01-01,2009-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,100,E,
ZWE,2008-01-01,2010-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,100,E,
ZWE,2009-01-01,2011-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,99,E,
ZWE,2010-01-01,2012-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,98,E,
ZWE,2011-01-01,2013-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,99,E,
ZWE,2012-01-01,2014-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,97,E,
ZWE,2013-01-01,2015-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,96,E,
ZWE,2014-01-01,2016-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,95,E,
ZWE,2015-01-01,2017-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,96,E,
ZWE,2016-01-01,2018-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,98,E,
ZWE,2017-01-01,2019-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,98,E,
ZWE,2018-01-01,2020-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,98,E,
ZWE,2019-01-01,2021-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,100,E,
ZWE,2020-01-01,2022-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,102,E,
ZWE,2021-01-01,2023-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,104,E,
ZWE,2022-01-01,2024-12-31,181,'716,Zimbabwe,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20222024,2024,%,105,E,
ZWE,2001-01-01,2001-12-31,181,'716,Zimbabwe,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2141,E,
